No,HID_DIM,ENC_LAYERS/DEC_LAYERS,ENC_HEADS/DEC_HEADS,PF,PF_ACT,ENC_PF_DIM/DEC_PF_DIM,TE_TYPE,ENC_DROPOUT/DEC_DROPOUT,Time,Parameters,val_loss,val_PLL,BLEU
1,256,3,8,TRUE,relu,1024,0,0.1,7m55s,8586054,2.477276987,11.90879244,17.41890486
2,512,3,8,TRUE,relu,1024,0,0.1,13m51s,21880390,2.983764145,19.76206409,6.107880175
3,256,6,8,TRUE,relu,1024,0,0.1,14m48s,14115654,7.457849132,1733.415696,0
4,512,6,8,TRUE,relu,1024,0,0.1,26m3s,37652038,6.902176168,994.4364236,0
5,256,3,4,TRUE,relu,1024,0,0.1,7m33s,8586054,2.51016695,12.30698454,15.94948918
6,512,3,4,TRUE,relu,1024,0,0.1,13m43s,21880390,2.828430944,16.9188933,7.678490877
7,256,6,4,TRUE,relu,1024,0,0.1,14m0s,14115654,6.549749798,699.0692436,0
8,512,6,4,TRUE,relu,1024,0,0.1,25m39s,37652038,6.555405723,703.034329,0
9,256,3,8,TRUE,relu,1024,1,0.1,7m58s,8586054,2.783871704,16.18154999,7.985069603
10,512,3,8,TRUE,relu,1024,1,0.1,13m51s,21880390,3.965966172,52.77123084,0.273869094
11,256,6,8,TRUE,relu,1024,1,0.1,14m49s,14115654,5.030539142,153.0154875,0
12,512,6,8,TRUE,relu,1024,1,0.1,26m0s,37652038,6.802111255,899.7448785,0
13,256,3,4,TRUE,relu,1024,1,0.1,7m35s,8586054,2.748253266,15.61533222,9.498164803
14,512,3,4,TRUE,relu,1024,1,0.1,13m42s,21880390,3.942148103,51.52917245,0.391216809
15,256,6,4,TRUE,relu,1024,1,0.1,13m59s,14115654,6.996652232,1092.968024,0
16,512,6,4,TRUE,relu,1024,1,0.1,25m45s,37652038,5.168651846,175.6778369,0
17,256,3,8,TRUE,relu,1024,0,0,7m45s,8586054,3.052627775,21.17090377,16.37231728
18,512,3,8,TRUE,relu,1024,0,0,13m37s,21880390,3.023839951,20.5701285,10.86966097
19,256,6,8,TRUE,relu,1024,0,0,14m27s,14115654,4.649998135,104.5847905,0
20,512,6,8,TRUE,relu,1024,0,0,25m30s,37652038,5.107515176,165.2592043,0
21,256,3,4,TRUE,relu,1024,0,0,7m23s,8586054,3.01584559,20.40633905,12.97967285
22,512,3,4,TRUE,relu,1024,0,0,13m28s,21880390,3.050522115,21.12637195,8.294053376
23,256,6,4,TRUE,relu,1024,0,0,13m34s,14115654,5.022411558,151.7768816,0
24,512,6,4,TRUE,relu,1024,0,0,25m14s,37652038,5.183620824,178.3273353,0
25,256,3,8,TRUE,relu,1024,1,0,7m47s,8586054,2.851119055,17.30713864,10.66910774
26,512,3,8,TRUE,relu,1024,1,0,13m36s,21880390,3.899264654,49.36613454,0.710298028
27,256,6,8,TRUE,relu,1024,1,0,14m24s,14115654,5.173434152,176.5199942,0
28,512,6,8,TRUE,relu,1024,1,0,25m31s,37652038,5.184377564,178.4623339,0
29,256,3,4,TRUE,relu,1024,1,0,7m22s,8586054,2.848862357,17.26812569,10.408777
30,512,3,4,TRUE,relu,1024,1,0,13m26s,21880390,3.863070567,47.61132092,0.443426613
31,256,6,4,TRUE,relu,1024,1,0,13m35s,14115654,5.171767182,176.2259858,0
32,512,6,4,TRUE,relu,1024,1,0,25m15s,37652038,5.188614421,179.2200573,0
33,256,3,8,TRUE,relu,1024,0,0.2,7m59s,8586054,2.381,10.81571317,14.23
34,512,3,8,TRUE,relu,1024,0,0.2,13m51s,21880390,2.7,14.89,4.76
35,256,6,8,TRUE,relu,1024,0,0.2,14m49s,14115654,7.41,1655.2,0
36,512,6,8,TRUE,relu,1024,0,0.2,26m7s,37652038,6.85,939.74,0
37,256,3,4,TRUE,relu,1024,0,0.2,7m38s,8586054,2.35,10.44,13.85
38,512,3,4,TRUE,relu,1024,0,0.2,13m46s,21880390,2.59,13.32,6.56
39,256,6,4,TRUE,relu,1024,0,0.2,14m1s,14115654,6.47,648.43,0
40,512,6,4,TRUE,relu,1024,0,0.2,25m47s,37652038,6.66,781.29,0
41,256,3,8,TRUE,relu,1024,1,0.2,7m59s,8586054,3.56,35.3,0.58
42,512,3,8,TRUE,relu,1024,1,0.2,13m54s,21880390,4.29,72.82,0
43,256,6,8,TRUE,relu,1024,1,0.2,14m49s,14115654,7.23,1384.38,0
44,512,6,8,TRUE,relu,1024,1,0.2,26m5s,37652038,6.89,984.11,0
45,256,3,4,TRUE,relu,1024,1,0.2,7m36s,8586054,3.54,34.5,0.73
46,512,3,4,TRUE,relu,1024,1,0.2,13m44s,21880390,4.31,74.74,0
47,256,6,4,TRUE,relu,1024,1,0.2,14m0s,14115654,6.73,840.24,0
48,512,6,4,TRUE,relu,1024,1,0.2,25m44s,37652038,5.17,175.39,0
49,256,3,8,TRUE,relu,2048,0,0.1,9m26s,11737926,2.62,13.75,16.72
50,512,3,8,TRUE,relu,2048,0,0.1,16m52s,28177990,2.86,17.53,8.73
51,256,6,8,TRUE,relu,2048,0,0.1,17m40s,20419398,7.23,1378.96,0
52,512,6,8,TRUE,relu,2048,0,0.1,31m54s,50247238,5.79,327.72,0
53,256,3,4,TRUE,relu,2048,0,0.1,9m1s,11737926,2.65,14.15,17.38
54,512,3,4,TRUE,relu,2048,0,0.1,16m42s,28177990,2.8,16.47,6.25
55,256,6,4,TRUE,relu,2048,0,0.1,16m48s,20419398,6.96,1057.4,0
